"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
"Minnesota",21,189900,189900,189900,189000,189000,189000,183000,179900,179900,177000,174900,165500,159900,159900,162900,164500,165000,165000,165000,165000,165000,163900,159900,155900,154900,159000,159900,164000,164900,169000,167900,165547.5,167500,168000,164900,159900,162000,169000,172400,175000,179900,184900,184900,184900,184900,185000,184900,179900,178900,181000,189900,194900,199900,2e+05,2e+05,199900,199900,199900,199900,199000,199000,199990,214900,216000,222250,224900,224900,224000,220950,219900,219900,218900,219900,220000,229700,229900,229900,229900,229900,229900,229900,229900,229900,229000,221900,239510,244500,249000,249900,249900,249900,249888,249900,249900,249900,249900,254900,268000,269900,269900,269900,269900,269000,267500,264999,264900,264900,265000,269900,275000,285000,285000,284000,280000,278000,274900,274900,269900
"Colorado",22,263000,259900,259000,256900,259900,259950,259900,264900,259900,255000,250000,245000,243775,242000,244900,244999.5,249900,250000,254900,254900,254900,250000,249900,249500,249900,250000,258500,259000,261925,264900,264000,260000,259000,259000,254997.5,252000,254500,258000,262000,269900,275000,279000,282500,285000,289900,285000,285000,289900,289900,295000,299000,299999,305000,314500,314900,315000,315950,317900,320000,325000,330000,329000,332499.5,339950,344950,349300,350000,349900,350000,350000,350000,360000,368000,365000,369900,375000,375000,379000,375000,375000,375000,375000,375000,379000,380000,389000,394900,399900,4e+05,405000,410000,409900,410900,410000,405000,410000,410000,420000,422170,424500,425000,421000,420378.5,419000,419900,419900,420000,420000,424000,425000,426850,429900,430000,430000,430000,426200,425000,425000
"Alabama",23,169900,170000,169900,169000,169900,168900,166670,164500,164900,164900,163116,159900,159900,159900,159900,159900,159900,159900,160000,159900,159900,159900,159900,159900,158900,159000,159900,159900,159900,159900,159900,159900,159000,159000,159900,159422.5,159500,159900,159900,164900,165000,165000,165000,165000,165000,164900,164900,163900,163900,165000,169000,169900,170000,172500,172015,169900,169900,169900,170000,167827.5,169900,169900,169900,174900,174700,174900,173000,172900,175000,173900,173000,172500,171900,169900,174900,179900,179900,179900,179900,179900,179500,178900,179000,177500,178900,179900,184900,189900,192900,194500,194000,192900,195000,194900,189900,189900,189900,194900,197900,199900,2e+05,200350,199900,199999,205000,199900,2e+05,200930,204994.5,205000,214900,219900,219900,219900,219900,219500,219900,219203
"South Carolina",24,195000,189900,189500,187000,184900,182917,180000,179900,179900,179500,176300,173549,169990,169900,169900,169900,169900,170000,170000,173295,169990,170000,169900,175000,169366.5,169500,169900,169777,169900,169900,169900,169900,169000,168900,168000,167990,169000,169900,172000,174900,175000,178000,178000,179000,179000,179900,179492,179500,179900,180000,184900,187000,189398,189900,189900,189900,189900,189900,191900,190000,189900,192900,194900,199900,199900,199550,205000,2e+05,207000,205495,209000,209900,210000,214500,217900,219000,219500,221500,224000,219900,219900,219900,220000,219900,219253,221550,225000,229900,230618,234000,234900,234700,239000,239660,239900,239900,239000,239900,244900,249000,249900,249900,246900,244900,246900,244900,247900,247000,245000,245000,249900,249900,250990,250000,249900,249000,248900,249000
"Louisiana",25,175900,175000,176500,178000,175900,176000,175000,175000,175000,174000,172000,169900,165000,165000,168000,167500,168500,166000,165000,164900,164900,159900,159900,159900,159900,159900,160000,160000,160000,162900,163000,162900,162500,162000,163000,160000,165000,165000,168000,169900,170000,171200,170000,169900,169900,169900,169000,169000,168000,169000,169500,170000,174900,175000,175000,175000,175000,175000,176900,175000,176500,179500,179900,182000,185000,185000,185000,185000,185300,185000,185600,186850,189000,189995,195000,199500,199900,199900,199900,199900,199500,199500,199000,199500,198500,197500,199500,204000,208505,208700,208505,205900,205000,205353,205000,204900,201900,204900,209000,210000,212500,212000,214000,212000,211900,210000,210000,210000,210000,210000,215000,219000,219679,219900,219500,216000,215000,213500
"Kentucky",26,149900,149900,149900,149900,149900,149900,149900,149000,149000,147850,145670,143000,139900,139900,142900,143900,147900,147000,146000,145000,145000,144900,144500,140000,139900,139900,142500,143330,142500,144500,142500,141822.5,139900,139900,139659,139000,138900,139000,139900,139900,140792.5,140000,139900,139900,139900,139900,139900,139900,139000,139900,142000,145900,149000,149900,149900,149900,149900,149900,149500,148500,148500,149900,149900,151900,157900,159000,159000,159000,159000,157500,155400,152900,150000,150000,154900,159900,159950,164000,164900,161000,160000,162000,160155.5,159900,159900,160000,165000,169900,174900,174900,174900,172900,172000,172500,170000,169900,173500,175000,177900,179900,184500,184900,184900,183900,184900,184900,185000,185000,184633.5,184945,189000,192900,198911,199000,198000,195000,195000,194900
"Oregon",27,254000,249900,249900,249000,249900,249900,249800,249000,244000,239900,239000,230000,226500,224900,225000,225000,229500,229950,234000,234950,235000,229900,219900,209900,210000,209900,214900,219000,219900,225000,225000,234900,229900,229900,229000,229000,229000,234500,239000,249000,250000,258000,259000,255000,255000,255000,250000,249900,249900,249950,254900,260000,259900,265497.5,269947,269900,268500,264000,262000,259900,259900,264900,269900,275000,279900,284900,285000,287500,289500,289900,289900,289500,289000,289900,299000,3e+05,315000,319900,324990,325000,325000,325000,325000,325000,324900,325000,334100,345000,349900,355000,359000,353000,355000,356800,355000,354995,350000,360000,369000,375000,379900,380000,379000,375000,375000,375000,374000,374900,370000,375000,379900,385900,390000,392500,389900,385970,387000,385000
"Oklahoma",28,147500,147000,147900,147955,149625,149000,147500,146000,148900,149000,148995,145000,142900,142500,145000,145000,146605,145000,144000,141900,140000,139900,139900,139000,137500,139500,140000,139900,140312.5,144500,141900,142000,141456,139995,139900,139900,139900,141551,142000,144900,145000,147000,145000,144900,145000,145900,146500,146560,146000,147900,149500,150000,154269,154900,154900,155000,154900,152500,155000,154707.5,157000,159000,159900,160000,162500,164500,164900,164400,165000,164900,165000,164900,165497,165000,168500,169900,170900,174653,174900,174500,174490,173574,174900,175000,174500,174500,175000,179000,179900,180000,182507.5,179900,180438,179900,179900,177900,178030,179900,180000,184900,184900,184900,184900,184900,184990,185000,184900,184900,185000,185000,189000,190000,192000,193362,190500,189900,190000,190000
"Connecticut",29,299000,299000,299000,299000,299500,299500,295000,295000,282400,280000,279900,270000,274900,275000,279900,279900,285000,288565,279900,279000,275000,269900,269900,265000,259900,265000,269000,269900,275000,275000,270000,265000,269000,264949.5,260000,256950,254900,264000,269900,279500,284995,279999,279000,269900,269900,269000,268900,259900,259900,264900,269900,279900,284550,284900,279900,274900,274900,274900,269900,260000,264900,269900,275000,284900,285000,289000,285000,279000,279900,279900,279000,274900,274900,279900,289000,295900,299900,299900,299900,299000,299500,299000,299000,290000,289900,299000,299900,314000,319900,319900,315000,307250,309900,309900,3e+05,299900,299900,309900,319000,325901,329000,329000,324900,315000,317500,314900,314900,309000,304571,315000,325000,329900,332900,332000,329900,319900,324900,319900
"Iowa",30,139950,140000,143000,144900,144900,144900,144900,142900,139900,139900,139000,135000,134500,132500,135000,134900,136450,138000,135000,134900,132000,133000,132350,129900,129900,130000,134500,135000,135000,135000,134900,133000,130000,129900,130000,129900,129900,129950,134500,135000,138500,137950,135000,134900,131375,130000,129900,129900,129900,131900,137500,139900,140000,141850,139900,139900,139000,137900,138900,135900,139000,139900,144500,148000,157500,158000,155000,152500,149900,149900,149500,147800,149500,150000,155700,159900,160000,164900,164900,159999,159900,159900,155500,153000,155000,160000,165000,169900,174900,175000,174900,169900,169500,169000,169000,168800,169900,174950,180000,181500,184900,184700,179900,177000,174900,171900,169900,169000,169900,170000,176500,179900,179900,183500,179900,179000,175000,175000
"Mississippi",31,157500,158500,155000,155000,156000,155000,154900,154006,154900,152900,151000,149900,149500,148000,149900,149999,152900,154900,154900,154900,154900,150000,149900,149900,149500,148500,149900,149000,149000,149900,149500,149900,149000,149500,149000,147650,149000,149500,149900,149900,152900,154000,154900,152500,154000,151850,150000,150000,150000,150000,154900,157000,158800,159000,159000,159000,158000,158000,158000,156500,159000,159500,159900,160000,164900,164000,164500,164400,165990,160000,160000,159900,159900,159900,160000,164800,165150,168000,169000,167200,165000,167500,168500,166450,166911,168000,170000,175000,178647.5,179000,179000,178900,179500,179900,175875,178000,179000,179000,179900,182900,185000,182900,184500,184000,184252,180000,180000,179900,179900,179900,184900,187000,189000,189000,189000,189000,188250,187500
"Arkansas",32,149900,149900,149650,149900,149900,150000,149900,149900,149900,149875,149000,145000,140000,139900,142500,143400,144900,144900,145000,145300,145500,144900,145000,144950,144000,145000,147500,149900,149900,149900,149900,149900,146500,145000,144900,143287.5,143500,144900,145000,147500,147900,147500,145000,144900,144900,140900,140000,139900,139900,139900,140000,142500,144000,145900,145900,145900,145000,145000,144900,144900,145000,147900,149900,149000,154900,154900,155000,154600,151540,153000,150000,149900,150000,150000,153950,154950,159000,159900,159900,159000,158500,156900,155000,154900,154900,156900,159500,160000,162500,164900,165000,165000,165414,165000,165000,164900,165000,165900,169900,175000,175000,175000,178000,174900,175000,174900,174900,174900,174900,174800,175000,179900,179900,179900,179900,179000,179000,179000
"Kansas",33,149950,149950,152000,152000,149900,149900,149000,146950,147900,146000,145000,139950,139500,139000,139900,143000,145000,145000,144900,144900,142500,140000,139900,139500,137900,139900,142900,145000,142500,139500,134950,134000,129900,129900,129900,127500,125000,129500,132000,135000,136500,135500,135000,135000,134950,134000,132500,130000,129950,132900,137500,142900,147500,145900,145000,140000,139900,139000,139000,137000,138000,139890,149900,158000,164900,164900,160000,154950,155900,155000,150000,149900,149000,152900,158000,159950,160000,164500,161880,159000,155000,154950,150000,149500,149500,154900,160000,169900,175000,175000,171900,169900,172000,174500,172000,168000,169487.5,174500,179000,187900,194000,194950,189000,184900,185000,183000,179268.5,175000,175000,179000,187000,195000,199900,199900,194900,189900,190000,189900
"Utah",34,230000,228800,224900,224900,220000,219900,218000,215000,210000,209900,209900,199900,199500,199000,199000,194900,195900,195000,198000,199000,199000,199000,199800,199700,199900,2e+05,199900,2e+05,205000,207500,209000,214900,214900,214900,215000,215000,215000,219000,219900,228500,229900,231500,235000,235000,237040,235000,235000,238900,234900,235000,238225,245000,249000,249900,250000,250000,253800,250000,250500,255000,259900,259900,264900,269900,274900,279900,283000,285000,287900,288694,289900,294900,297500,295250,299900,299000,299500,299900,299900,299900,299900,299900,304900,310000,309900,314000,319000,324900,328500,329900,329900,329500,329900,330000,335000,339800,340000,346769.5,349900,350000,350000,352990,355000,352500,357000,352085,351034,359500,359899,363450,365000,369900,370000,369999,369900,369900,368994,367900
"Nevada",35,168000,169000,167713,165000,160000,159900,155000,150000,150000,149000,147000,139900,139900,139000,138000,135000,134900,134900,134900,135000,135000,134900,133500,130000,130500,133700,135000,139000,148900,150000,149000,145000,147500,149900,149000,150000,155000,158000,160000,165000,170000,175000,175000,188000,189900,190000,190000,189500,189000,190000,197600,199900,204900,209750,209990,219000,219900,219900,219000,219000,219000,219900,224900,229000,235000,235000,238000,239000,239900,239746.5,239900,239500,239000,235000,239900,246982.5,249999,254900,257500,259000,259900,260000,260000,262000,264999,267000,269995,275000,279900,285000,290000,290000,295000,297500,299000,299500,299900,3e+05,3e+05,307638.5,310000,312000,315000,324900,320000,319990,319999,319000,315000,314900,314900,318000,320000,324900,324900,324900,324900,320000
"New Mexico",36,230500,229990,227711,225000,227766.5,225000,225000,223257,219900,219000,217500,210000,204900,199500,199900,199991.5,205000,205000,207900,205000,205000,204500,199990,199900,199900,199000,199000,199000,199095.5,199900,199900,199000,199000,195000,195000,190000,190000,194500,194900,199000,204900,209000,206990,205000,203997,2e+05,2e+05,199900,199000,199000,199900,2e+05,208995,209000,209000,209900,209000,204375,2e+05,199900,199900,199900,2e+05,208900,215000,219000,219000,219000,219000,215000,209000,205000,2e+05,205000,210000,214000,217500,219000,219900,219900,219000,219000,214000,210000,209900,210000,215000,219000,220000,224814.5,224999,224500,223950,220000,219000,217500,217950,219736.5,219900,224900,225990,229000,229000,227160,225000,225000,225000,225000,224900,225000,229000,231099,238990,239900,239500,239500,240000,239000
"West Virginia",37,150000,153500,154900,150000,150000,150000,150000,150000,150000,149900,149500,145000,142900,140000,145000,145000,149000,149500,149500,148500,145000,144500,140000,139900,139900,139900,139900,139900,139900,140000,139900,139900,139900,139900,139900,139500,139900,140000,144900,145000,148000,146000,147950,147550,143775,139900,139000,139900,139900,140000,147500,149900,150000,154900,154900,150000,149900,149900,149900,149900,149500,149900,149900,150000,155000,155000,154900,152999.5,152900,153900,152529,150000,149900,149900,154900,158500,159900,159900,159000,156900,154900,150000,149999,149900,149000,149900,150000,155000,157000,158000,156900,155000,154900,150000,150000,149900,149900,149900,152500,158962.5,159900,159900,159900,159000,159900,159900,159000,158000,159900,159900,164000,165000,167500,169000,169000,169000,166990,165000
"Nebraska",38,136900,138000,137000,135000,136900,136900,138050,137500,135000,135000,135000,131650,129900,129900,132900,134000,134900,134900,134500,133000,132000,130000,129000,127500,127300,128300,130000,134900,135000,134950,134900,130000,130000,130000,129900,128500,129000,130000,135000,138000,139900,139500,138900,136900,137000,137500,134900,134000,134900,135000,140000,145000,149000,149600,148900,149500,149000,145000,142900,140000,142000,147500,154900,160000,169500,169000,164900,164900,163097.5,162145,163195,163000,160000,165450,175000,179900,183500,179900,179950,175000,175000,175000,174900,173000,175000,179900,189000,195000,2e+05,199900,199900,199000,199000,196500,196000,198000,199900,218000,219900,224600,224600,220000,219900,218000,219000,215000,214000,214900,214900,219500,225000,225000,220000,220000,217500,209900,212000,209900
